gene	disease
CEP41	Joubert syndrome 9/15, digenic;Joubert syndrome 12/15, digenic
CEP55	Hydranencephaly with renal aplasia-dysplasia;Inborn genetic diseases
CEP57	Mosaic variegated aneuploidy syndrome 1;Mosaic variegated aneuploidy syndrome;Mosaic variegated aneuploidy syndrome 2
CEP63	Seckel syndrome 6;Inborn genetic diseases
CEP76	Short stature
CEP78	Cone-rod dystrophy and hearing loss
CEP83	Nephronophthisis 18
CEP97	Global developmental delay;Intellectual disability
CERKL	Macular dystrophy;Retinitis pigmentosa;Adult-onset night blindness;Severe photosensitivity;Cone/cone-rod dystrophy;Retinal pigment epithelial atrophy;Retinal dystrophy;Retinitis pigmentosa 26
CERS1	Epilepsy, progressive myoclonic 8
CERS3	Autosomal recessive congenital ichthyosis 9
CERT1	Mental retardation, autosomal dominant 34
CES1	DRUG METABOLISM, ALTERED, CES1-RELATED
CETP	Hyperalphalipoproteinemia 1
CFAP298	Kartagener syndrome;Ciliary dyskinesia;Ciliary dyskinesia, primary, 26
CFAP300	Ciliary dyskinesia, primary, 38
CFAP410	Retinitis pigmentosa;Retinal dystrophy;RETINAL DYSTROPHY WITH OR WITHOUT MACULAR STAPHYLOMA;Spondylometaphyseal dysplasia axial;Cone/cone-rod dystrophy
CFAP43	SPERMATOGENIC FAILURE 19
CFAP44	SPERMATOGENIC FAILURE 20
CFAP53	Heterotaxy, visceral, 6, autosomal;Dextrocardia
CFAP69	SPERMATOGENIC FAILURE 24
CFB	Atypical hemolytic-uremic syndrome 4;Complement factor B deficiency
CFC1	Heterotaxy, visceral, 2, autosomal
CFD	Complement factor d deficiency
CFH	Age-related macular degeneration 4;Atypical hemolytic-uremic syndrome 1;Basal laminar drusen;Factor H deficiency
CFHR1	Age-related macular degeneration;Atypical hemolytic-uremic syndrome 1;Hemolytic uremic syndrome, atypical, susceptibility to
CFHR3	Age-related macular degeneration;Age-related macular degeneration 1;Atypical hemolytic-uremic syndrome 1;Hemolytic uremic syndrome, atypical, susceptibility to
CFHR5	CFHR5 deficiency
CFI	Atypical hemolytic-uremic syndrome 3;Afibrinogenemia;MACULAR DEGENERATION, AGE-RELATED, 13, SUSCEPTIBILITY TO
CFL2	Nemaline myopathy 7
CFP	Properdin deficiency, X-linked;Properdin deficiency, type II;Properdin deficiency, type III
CFTR	Sweat chloride elevation without cystic fibrosis;Hereditary pancreatitis;Congenital bilateral absence of the vas deferens;Bronchiectasis with or without elevated sweat chloride 1;Ivacaftor response;ivacaftor response - Efficacy;Cystic fibrosis
CHAF1B	Global developmental delay;Intellectual disability;Attention deficit hyperactivity disorder
CHAMP1	intellectual disability with severe speech impairment;Mental retardation, autosomal dominant 40;Inborn genetic diseases
CHAT	Respiratory insufficiency;Central sleep apnea syndrome;Decreased activity of the pyruvate dehydrogenase complex;Familial infantile myasthenia;Lactic acidosis;Febrile seizures;External ophthalmoplegia;Progressive ptosis;Progressive muscle weakness;Congenital myasthenic syndrome;Pes planus;Aspiration pneumonia;Gastroesophageal reflux
CHCHD10	Spinal muscular atrophy, jokela type;Frontotemporal dementia and/or amyotrophic lateral sclerosis 2;Myopathy, isolated mitochondrial, autosomal dominant
CHCHD2	Parkinson disease 22, autosomal dominant
CHD1	PILAROWSKI-BJORNSSON SYNDROME
CHD1L	Short stature
CHD2	Epileptic encephalopathy, childhood-onset;Rolandic epilepsy;Inborn genetic diseases;History of neurodevelopmental disorder
CHD3	SNIJDERS BLOK-CAMPEAU SYNDROME;Intellectual disability
CHD4	Inborn genetic diseases;Sifrim-Hitz-Weiss syndrome
CHD7	Scoliosis;Kallmann syndrome 5;Myopia;Hearing impairment;Atrial septal defect;Abnormal facial shape;Chorioretinal coloboma;Dolichocephaly;History of neurodevelopmental disorder;CHARGE association;Pyloric stenosis;Choanal atresia;Pulmonary artery atresia;Retinal coloboma;Poor coordination;Hypogonadotropic hypogonadism 5 without anosmia;Hypothyroidism;Inborn genetic diseases;Progressive hearing impairment
CHD8	Autism, susceptibility to, 18;Inborn genetic diseases;History of neurodevelopmental disorder
CHEK1	Ovarian Neoplasms
CHEK2	Osteosarcoma;Li-Fraumeni syndrome;Hereditary breast and ovarian cancer syndrome;Li-Fraumeni syndrome 2;Breast and colorectal cancer, susceptibility to;Hereditary cancer-predisposing syndrome;Nephroblastoma;Familial cancer of breast;Neoplasm of the breast;Malignant tumor of prostate;Inborn genetic diseases;Sarcoma
CHI3L1	Asthma-related traits, susceptibility to, 7
CHKB	Muscular dystrophy, congenital, megaconial type
CHL1	Autistic disorder of childhood onset
CHM	Chorioretinal atrophy;Schizophrenia;Choroideremia;Autistic disorder of childhood onset;Abnormality of the eye;Nyctalopia;Retinal dystrophy
CHMP1A	Inborn genetic diseases;Pontocerebellar hypoplasia type 1A;Pontocerebellar hypoplasia type 8
CHMP2B	Frontotemporal Dementia, Chromosome 3-Linked
CHMP4B	Cataract, posterior polar, 3
CHN1	Hydronephrosis;Dandy-Walker syndrome;Abnormality of the vertebral column;Nyctalopia;Global developmental delay;Cleft palate;Duane anomaly;Small hand;Abnormality of the diaphragm;Micrognathia;Laryngomalacia;Hydroureter;Cerebellar vermis hypoplasia;Feeding difficulties;Sensorineural hearing loss;Arachnodactyly;Microglossia;Diaphragmatic eventration;Abnormality of the cervical spine;Duane syndrome type 2
CHP1	SPASTIC ATAXIA 9, AUTOSOMAL RECESSIVE
CHRDL1	Schizophrenia;Autistic disorder of childhood onset;Megalocornea
CHRM3	Prune belly syndrome
CHRNA1	Lethal multiple pterygium syndrome;Non-immune hydrops fetalis;Congenital myasthenic syndrome 1B, fast-channel;Inborn genetic diseases;Myasthenic syndrome, slow-channel congenital
CHRNA2	Epilepsy, nocturnal frontal lobe, type 4
CHRNA4	Epilepsy, nocturnal frontal lobe, type 1
CHRNA7	Epilepsy, idiopathic generalized 7
CHRNB1	Myasthenic syndrome, congenital, 2a, slow-channel
CHRNB2	Inborn genetic diseases;Epilepsy, nocturnal frontal lobe, type 3
CHRND	Dyspnea;Myasthenic syndrome, congenital, 3c, associated with acetylcholine receptor deficiency;Lethal multiple pterygium syndrome;Myasthenic syndrome, congenital, 3b, fast-channel;Breathing dysregulation;Muscle weakness;Myasthenic syndrome, congenital, 3a, slow-channel;Ptosis
CHRNE	Congenital myasthenic syndrome 1B, fast-channel;Myasthenic syndrome, congenital, 4a, slow-channel;Congenital myasthenic syndrome;Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency;Myasthenic syndrome, congenital, 4b, fast-channel
CHRNG	Multiple pterygium syndrome Escobar type;Lethal multiple pterygium syndrome
CHST14	Ehlers-Danlos syndrome, musculocontractural type
CHST3	Spondyloepiphyseal dysplasia with congenital joint dislocations
CHST6	Macular corneal dystrophy, type II;Macular corneal dystrophy Type I
CHST8	Peeling skin syndrome 3
CHSY1	Temtamy preaxial brachydactyly syndrome
CHUK	Cocoon syndrome
CIB1	EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 3
CIB2	Deafness, autosomal recessive 48;Usher syndrome, type 1;Nonsyndromic hearing loss and deafness;Usher syndrome, type 1J
CIC	Oligodendroglioma, anaplastic;MENTAL RETARDATION, AUTOSOMAL DOMINANT 45;Oligodendroglioma;Inborn genetic diseases
CIDEC	Familial partial lipodystrophy 5
CIITA	Rheumatoid arthritis;Bare lymphocyte syndrome 2;Bare lymphocyte syndrome type 2, complementation group A
CILP	Lumbar disc disease, susceptibility to
CINP	Microcephaly;Intellectual disability;Seizures
CISD2	Wolfram syndrome 2
CISH	Susceptibility to malaria;Bacteremia, susceptibility to, 2;Tuberculosis, susceptibility to
CIT	Primary autosomal recessive microcephaly;Microcephaly 17, primary, autosomal recessive
CKAP2L	Filippi syndrome
CLCF1	Cold-induced sweating syndrome 2
CLCN1	EMG: myotonic discharges;Achilles tendon contracture;Hypoplasia of the maxilla;Congenital myotonia, autosomal recessive form;Skeletal muscle hypertrophy;Lumbar hyperlordosis;Myotonia;Congenital myotonia, autosomal dominant form;Myotonia congenita
CLCN2	Epilepsy with grand mal seizures on awakening;Hyperaldosteronism, familial, type II;Leukoencephalopathy with ataxia
CLCN4	Schizophrenia;Mental retardation 49, X-linked;Autistic disorder of childhood onset;Inborn genetic diseases;CLCN4-related disorder
CLCN5	Multiple small medullary renal cysts;Schizophrenia;Nephrolithiasis, X-linked recessive;Autistic disorder of childhood onset;Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis;Dent disease 1;Hyperkalemia;Low-molecular-weight proteinuria;Inborn genetic diseases
CLCN7	Osteopetrosis autosomal dominant type 2;Osteopetrosis autosomal recessive 4
CLCNKA	Bartter syndrome, type 4b;Deafness
CLCNKB	Bartter syndrome type 3;Hematuria;Bartter syndrome, type 3, with hypocalciuria;BARTTER SYNDROME, TYPE 4B, WITH SENSORINEURAL DEAFNESS;Proteinuria
CLDN1	Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis
CLDN10	HELIX SYNDROME
CLDN14	Deafness, autosomal recessive 29;Perrault syndrome;Hearing impairment
CLDN16	Nephrolithiasis;Nephrocalcinosis;Hypercalciuria, childhood, self-limiting;Primary hypomagnesemia
CLDN19	Hypomagnesemia 5, renal, with ocular involvement;Nephrolithiasis;Nephrocalcinosis
CLDN2	Male infertility
CLEC1A	Aspergillosis, susceptibility to
CLGN	Short stature
CLHC1	Marked Hypotonia;Waddling gait
CLIC2	Mental retardation, X-linked, syndromic 32
CLIC4	Short stature
CLIC5	Deafness, autosomal recessive 103
CLIP1	Short stature
CLMP	Intestinal pseudo-obstruction
CLN3	Ceroid lipofuscinosis, neuronal, 3, protracted;Retinitis pigmentosa;Neuronal ceroid lipofuscinosis;Juvenile neuronal ceroid lipofuscinosis
CLN5	Neuronal ceroid lipofuscinosis;Seizures;Ceroid lipofuscinosis neuronal 5
CLN6	Ceroid lipofuscinosis neuronal 6;Seizures
CLN8	Ceroid lipofuscinosis neuronal 8;Ceroid lipofuscinosis, neuronal, 8, northern epilepsy variant;Neuronal ceroid lipofuscinosis;Inborn genetic diseases
CLPB	3-methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia;Inborn genetic diseases
CLPP	Autosomal recessive hearing impairment with normal menstrual cycles;Perrault syndrome 3
CLPX	PROTOPORPHYRIA, ERYTHROPOIETIC, 2
CLRN1	Retinitis pigmentosa;Usher syndrome, type 3A;Retinitis pigmentosa 61;Retinal dystrophy
CLTC	MENTAL RETARDATION, AUTOSOMAL DOMINANT 56;Inborn genetic diseases
CLUAP1	Joubert syndrome;Leber congenital amaurosis;Oculoectodermal syndrome
CNBP	Myotonic dystrophy type 2
CNGA1	Retinitis pigmentosa;Retinitis pigmentosa 49;Retinal dystrophy
CNGA3	Cone/cone-rod dystrophy;Photophobia;Macular degeneration;Achromatopsia 2;Abnormality of color vision;Achromatopsia;Abnormality of the eye;Monochromacy;Retinal dystrophy
CNGB1	Retinitis pigmentosa;Retinal dystrophy;Retinitis pigmentosa 45
CNGB3	Macular dystrophy;Achromatopsia 3;Abnormality of the eye;Achromatopsia;Leber congenital amaurosis;Inborn genetic diseases;CNGB3-Related Disorders
CNKSR2	Schizophrenia;Autistic disorder of childhood onset;Intellectual disability;X-linked recessive seizure and neurodevelopmental deficit;MENTAL RETARDATION, X-LINKED, SYNDROMIC, HOUGE TYPE
CNNM2	Hypomagnesemia, seizures, and mental retardation;Hypomagnesemia 6, renal
CNNM4	Cone-rod dystrophy amelogenesis imperfecta
CNOT3	Inborn genetic diseases
CNPY3	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 60
CNTN1	Myopathy, congenital, compton-north
CNTN2	Epilepsy, familial adult myoclonic, 5
CNTN4	Autistic disorder of childhood onset
CNTN5	Autistic disorder of childhood onset
CNTN6	Schizophrenia;Autistic disorder of childhood onset;Autistic behavior
CNTNAP1	Congenital hypomyelinating neuropathy 3;Lethal congenital contracture syndrome 7;Distal arthrogryposis type 1A
CNTNAP2	Autism 15;Schizoaffective disorder, depressive type;Autistic disorder of childhood onset;Pitt-Hopkins-like syndrome 1;Autism spectrum disorder;History of neurodevelopmental disorder
COA3	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
COA5	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3
COA6	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4
COA7	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE, WITH AXONAL NEUROPATHY 3
COA8	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
COASY	Neurodegeneration with brain iron accumulation 6;PONTOCEREBELLAR HYPOPLASIA, TYPE 12
COCH	DEAFNESS, AUTOSOMAL RECESSIVE 110;Prelingual sensorineural hearing impairment;Nonsyndromic hearing loss and deafness;Deafness, autosomal dominant 9
COG1	COG1 congenital disorder of glycosylation
COG2	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIq
COG4	SAUL-WILSON SYNDROME;Congenital disorder of glycosylation type 2J;Delayed gross motor development
COG5	Congenital disorder of glycosylation type 2i
COG6	Congenital disorder of glycosylation type 2L
COG7	COG7 congenital disorder of glycosylation
COG8	Congenital disorder of glycosylation type 2H
COL10A1	Metaphyseal chondrodysplasia, Schmid type
COL11A1	Hypertelorism;Short nose;sporadic abdominal aortic aneurysm;Myopia;Hypoplasia of the maxilla;Abnormal facial shape;Fibrochondrogenesis;Stickler syndrome, type 2;Cleft palate;Connective tissue disorder;Marshall/Stickler syndrome;Telecanthus;Inborn genetic diseases;Megalocornea
COL11A2	Sensorineural hearing loss;Stickler syndrome, type 3;Inborn genetic diseases;Nonsyndromic Deafness;Nonsyndromic hearing loss and deafness;Deafness, autosomal dominant 13;Deafness, autosomal recessive 53;Otospondylomegaepiphyseal dysplasia
COL12A1	Bethlem myopathy 2;Ullrich congenital muscular dystrophy 2;Inborn genetic diseases
COL13A1	Myasthenic syndrome, congenital, 19
COL17A1	Adult junctional epidermolysis bullosa;Failure to thrive;Epidermolysis bullosa, junctional, localisata variant;Sparse scalp hair;Abnormality of skin morphology;Hyperkeratotic papule;Discolored lateral incisors;Epithelial recurrent erosion dystrophy;Pterygium of nails;Anonychia;Abnormality of the skin;Generalized abnormality of skin;Irregular dentition;Nail dystrophy;Constipation;Abnormality of the dentition;Abnormal blistering of the skin
COL18A1	Retinitis pigmentosa;Cataract;Nystagmus;Severe Myopia;Retinal dystrophy;Progressive neurodegenerative disease;Knobloch syndrome 1
COL1A1	Crumpled long bones;Reduced bone mineral density;Wide anterior fontanel;Rhizomelia;Downslanted palpebral fissures;Ehlers-Danlos syndrome, procollagen proteinase deficient;Increased susceptibility to fractures;Bruising susceptibility;OSTEOGENESIS IMPERFECTA, TYPE IIC;Osteogenesis imperfecta, recessive perinatal lethal;Decreased calvarial ossification;Osteogenesis imperfecta with normal sclerae, dominant form;Craniofacial disproportion;Fragile skin;Blue sclerae;Pathologic fracture;Neonatal short-limb short stature;Osteogenesis imperfecta;Skeletal dysplasia;Fractures of the long bones;Osteogenesis imperfecta, type III/IV;Abnormality of the pinna;Osteogenesis imperfecta type 2, thin-bone;Osteogenesis imperfecta type 1, mild;Hypertelorism;Joint hypermobility;Anteverted nares;Maternal hypertension;Premature birth;Ehlers-Danlos syndrome, classic type;Flat occiput;Osteopenia;Low-set, posteriorly rotated ears;Neonatal asphyxia;Dentinogenesis imperfecta;Generalized hypotonia;Postmenopausal osteoporosis;Oi/eds combined syndrome;Triangular face;Osteogenesis imperfecta type I;Infantile cortical hyperostosis;Osteogenesis imperfecta type III;Recurrent fractures;Cranial asymmetry;Depressed nasal bridge;Wide cranial sutures;Broad forehead;Bowing of limbs due to multiple fractures;Inborn genetic diseases
COL1A2	Postmenopausal osteoporosis;Osteogenesis imperfecta with normal sclerae, dominant form;Osteogenesis imperfecta type I;Osteogenesis imperfecta type III;Multiple prenatal fractures;Ehlers-Danlos syndrome, classic type;EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE, 2;Ehlers-Danlos syndrome, autosomal recessive, cardiac valvular form;Osteogenesis imperfecta;Skeletal dysplasia;Osteogenesis imperfecta/Ehlers-Danlos crossover syndrome;Dentinogenesis imperfecta;Osteogenesis imperfecta, recessive perinatal lethal;Inborn genetic diseases
COL25A1	Fibrosis of extraocular muscles, congenital, 5
COL27A1	Steel syndrome;Inborn genetic diseases
COL2A1	Scoliosis;Short ribs;Multiple epiphyseal dysplasia;Hearing impairment;Coxa plana;Absent vertebral body mineralization;Czech dysplasia metatarsal type;Stickler syndrome, type I, nonsyndromic ocular;Platyspondylic lethal skeletal dysplasia Torrance type;Stickler syndrome;Spondyloepiphyseal dysplasia;Stickler syndrome type 1;Connective tissue disorder;Avascular necrosis of the head of femur;Hypoplastic acetabulae;Spondyloperipheral dysplasia;Spondyloepiphyseal dysplasia, stanescu type;Spondylometaphyseal dysplasia;Achondrogenesis, type II;Kniest dysplasia;Osteoarthritis with mild chondrodysplasia;Otospondylomegaepiphyseal dysplasia;Disproportionate short-limb short stature;Hip dysplasia;Hypochondrogenesis;Skeletal dysplasia;Narrow chest;Vitreoretinopathy with phalangeal epiphyseal dysplasia;Rhegmatogenous retinal detachment, autosomal dominant;Inborn genetic diseases;Short stature
COL3A1	Aortic dissection;POLYMICROGYRIA WITHOUT VASCULAR-TYPE EHLERS-DANLOS SYNDROME;Thoracic aortic aneurysm and aortic dissection;Ehlers-Danlos syndrome, type 3;Cardiovascular phenotype;EHLERS-DANLOS SYNDROME, NONVASCULAR VARIANT;Loeys-Dietz syndrome;Seizures;Familial aortopathy;POLYMICROGYRIA WITH OR WITHOUT VASCULAR-TYPE EHLERS-DANLOS SYNDROME;Connective tissue nevi;Ehlers-Danlos syndrome, type 4;Congenital aneurysm of ascending aorta;Ehlers-Danlos syndrome
COL4A1	Hemorrhage, intracerebral, susceptibility to;Brain small vessel disease with hemorrhage;Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps;Porencephaly 1;Optic nerve hypoplasia;Retinal arteries, tortuosity of;Inborn genetic diseases
COL4A2	Inborn genetic diseases;Porencephaly 2
COL4A3	Alport syndrome, autosomal recessive;COL4A3-Related Disorders;Alport syndrome 3, autosomal dominant;Alport syndrome
COL4A4	Hypertension;Alport syndrome, autosomal recessive;Hematuria;Myopia;Alport syndrome 3, autosomal dominant;Hearing impairment;Proteinuria
COL4A5	Familial hematuria;Nephritis;Schizophrenia;Hearing impairment;Alport syndrome;Elevated mean arterial pressure;Downslanted palpebral fissures;Proteinuria;Chronic kidney disease;Global glomerulosclerosis;Bilateral sensorineural hearing impairment;Autistic disorder of childhood onset;Nephropathy;Alport syndrome 1, X-linked recessive;Hematuria;Inborn genetic diseases;Microscopic hematuria
COL4A6	Alport syndrome 1, X-linked recessive;Deafness, X-linked 6
COL5A1	Joint hypermobility;Hyperextensible skin;Ehlers-Danlos syndrome, classic type;Mitral valve prolapse;Bruising susceptibility;Connective tissue disorder;Patellar dislocation;Pneumothorax;Large joint dislocations;Gastroesophageal reflux;Cutis laxa;Cigarette-paper scars;Talipes equinovarus;Dysplasia of acetabulum;Thoracic aortic aneurysm and aortic dissection;Cardiovascular phenotype;Inguinal hernia;Bilateral talipes equinovarus;Joint hyperflexibility;Difficulty walking;Soft skin;Pain;Atrophic scars;Cataract;Edema of the dorsum of feet;Constrictive median neuropathy;Abnormally lax or hyperextensible skin
COL5A2	Joint hypermobility;Hyperextensible skin;Telecanthus;Spinal deformities;Thoracic aortic aneurysm and aortic dissection;Ehlers-Danlos syndrome, classic type
COL6A1	Muscular Diseases;Ullrich congenital muscular dystrophy 1;Bethlem myopathy 1;Inborn genetic diseases;Ullrich congenital muscular dystrophy 1, autosomal dominant
COL6A2	Muscular Diseases;Myosclerosis, autosomal recessive;Ullrich congenital muscular dystrophy 1;Collagen VI-related myopathy;Bethlem myopathy 1;Inborn genetic diseases
COL6A3	Muscular Diseases;Ullrich congenital muscular dystrophy 1;Bethlem myopathy 1;Dystonia 27;Inborn genetic diseases
COL7A1	Epidermolysis bullosa dystrophica inversa, autosomal recessive;Nail disorder, nonsyndromic congenital, 8;Failure to thrive;Ichthyosis;Abnormality of the thyroid gland;Recessive dystrophic epidermolysis bullosa;Hyperpigmentation of the skin;Distal muscle weakness;Palmoplantar blistering;Scarring;Nail dystrophy;Scarring alopecia of scalp;Abnormal blistering of the skin;Epidermolysis bullosa pruriginosa, autosomal dominant;Dystrophic epidermolysis bullosa;Abnormality of dental enamel;Generalized dominant dystrophic epidermolysis bullosa;Decreased body weight;Epidermolysis bullosa, pretibial, autosomal recessive;Alopecia of scalp;Microcephaly;Finger syndactyly;Toe syndactyly;Epidermolysis bullosa dystrophica, AD, Epidermolysis bullosa dystrophica, AR;Bullous ichthyosiform erythroderma;Dominant dystrophic epidermolysis bullosa with absence of skin;Transient bullous dermolysis of the newborn;Epidermal nevus;EMG abnormality;Abnormality of the dentition;Pretibial epidermolysis bullosa;Short stature;Inborn genetic diseases
COL8A2	Corneal dystrophy, Fuchs endothelial 1;Corneal dystrophy, posterior polymorphous, 2
COL9A1	Stickler syndrome, type 4
COL9A2	Stickler syndrome;Stickler syndrome, type 5
COL9A3	Epiphyseal dysplasia, multiple, 3, with myopathy;Inborn genetic diseases;Multiple epiphyseal dysplasia 3
COLEC10	Malpuech facial clefting syndrome
COLEC11	Carnevale syndrome
COLGALT1	BRAIN SMALL VESSEL DISEASE 3
COLQ	Endplate acetylcholinesterase deficiency
COMP	Pseudoachondroplastic spondyloepiphyseal dysplasia syndrome;Pseudoachondroplasia, severe;Multiple epiphyseal dysplasia 1;Epiphyseal dysplasia, multiple, 1, severe
COMT	Schizophrenia, susceptibility to
COPA	Autoimmune interstitial lung, joint, and kidney disease
COPB2	MICROCEPHALY 19, PRIMARY, AUTOSOMAL RECESSIVE
COQ2	Shy-Drager syndrome;Coenzyme Q10 deficiency, primary;Coenzyme Q10 deficiency, primary 1
COQ4	Coenzyme Q10 deficiency, primary, 7;Inborn genetic diseases
COQ6	Coenzyme Q10 deficiency, primary, 6
COQ7	Coenzyme Q10 deficiency, primary, 8
COQ8A	Cerebellar atrophy;Nystagmus;Coenzyme Q10 deficiency, primary, 4;Slurred speech;Dysdiadochokinesis;Slightly reduced reflexes;Cerebellar ataxia;Dysmetria;Inborn genetic diseases;Coenzyme Q10 deficiency, primary 1
COQ8B	Nephrotic syndrome, type 9
COQ9	Coenzyme Q10 deficiency, primary, 5
CORIN	Preeclampsia/eclampsia 5
CORO1A	Immunodeficiency 8
COX10	Leigh syndrome due to mitochondrial complex IV deficiency;Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
COX14	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
COX15	Leigh syndrome due to mitochondrial complex IV deficiency;Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2;Leigh syndrome
COX20	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
COX6A1	Charcot-Marie-Tooth disease, recessive intermediate d;Peripheral neuropathy
COX6B1	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
COX7B	Linear skin defects with multiple congenital anomalies 2
COX8A	Hepatic failure, early-onset, and neurologic disorder due to cytochrome C oxidase deficiency
CP	Ceruloplasmin belfast;Hemosiderosis, systemic, due to aceruloplasminemia;Deficiency of ferroxidase;Inborn genetic diseases;Hermansky-Pudlak syndrome 3
CPA6	Epilepsy, familial temporal lobe, 5
CPAMD8	Anterior segment dysgenesis 8
CPLANE1	Global developmental delay;Jaundice;Joubert syndrome;Inborn genetic diseases;Orofaciodigital syndrome 6;Joubert syndrome 17
CPLX1	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 63;Abnormality of brain morphology
CPOX	Hereditary coproporphyria;Coproporphyria, digenic;Harderoporphyria;Coproporphyria
CPS1	Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to
CPT1A	Carnitine palmitoyl transferase 1 deficiency;Carnitine palmitoyltransferase I deficiency
CPT1C	Spastic paraplegia 73, autosomal dominant
CPT2	Carnitine palmitoyltransferase II deficiency, infantile;Encephalopathy, acute, infection-induced, 4, susceptibility to;Carnitine palmitoyltransferase II deficiency, lethal neonatal;Carnitine palmitoyltransferase II deficiency;Carnitine palmitoyltransferase II deficiency, myopathic, stress-induced
CPZ	Short stature
CR2	Common variable immunodeficiency 7
CRADD	Mental retardation, autosomal recessive 34
CRAT	Deficiency of carnitine acetyltransferase;NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 8;Neurodegeneration with brain iron accumulation
CRB1	Macular dystrophy;Retinitis pigmentosa;Retinitis pigmentosa 12;Leber congenital amaurosis 8;Stargardt disease;Early-onset retinal dystrophy;Leber congenital amaurosis;Retinal dystrophy;Inborn genetic diseases
CRB2	Focal segmental glomerulosclerosis 9;Ventriculomegaly with cystic kidney disease
CRBN	Mental retardation, autosomal recessive 2
CREB3L1	Osteogenesis imperfecta;Osteogenesis imperfecta, type xvi
CREBBP	Squamous cell lung carcinoma;Menke-Hennekam syndrome 1;Synophrys;Rubinstein-Taybi syndrome 1;Spinal dysraphism;Spasticity;Uterine cervical neoplasms;Glioblastoma;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Abnormality of the thumb;Thin vermilion border;Adenoid cystic carcinoma;History of neurodevelopmental disorder;Morphological abnormality of the central nervous system;Hepatocellular carcinoma;Transitional cell carcinoma of the bladder;Glaucoma;Neoplasm of the large intestine;Malignant melanoma of skin;Inborn genetic diseases;Medulloblastoma
CRELD1	Atrioventricular septal defect 2
CRH	Autosomal dominant nocturnal frontal lobe epilepsy
CRIPT	Short stature with microcephaly and distinctive facies;Ateleiotic dwarfism
CRLF1	Cold-induced sweating syndrome 1
CRPPA	Muscular dystrophy-dystroglycanopathy;Muscular dystrophy-dystroglycanopathy (limb-girdle), type c, 7;Muscular dystrophy, congenital, due to integrin alpha-7 deficiency;Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A7
CRTAP	Osteogenesis imperfecta type 7
CRX	Macular dystrophy;Retinitis pigmentosa;Leber congenital amaurosis 7;Cone-rod dystrophy 2;Leber congenital amaurosis;Bulls eye maculopathy;Retinal dystrophy
CRY1	Sleep-wake schedule disorder, delayed phase type
CRYAA	Cataract 9, autosomal recessive;Congenital cataract;Cataract, autosomal dominant;Inborn genetic diseases;Cataract, autosomal dominant, multiple types, with microcornea
CRYAB	Dilated cardiomyopathy 1II;Familial restrictive cardiomyopathy 1;Cataract 16, multiple types;Congenital cataract;Alpha-B crystallinopathy
CRYBA1	Cataract, congenital zonular, with sutural opacities;Inborn genetic diseases
CRYBA4	Cataract 23, multiple types
CRYBB1	Congenital cataract;Cataract, congenital nuclear, autosomal recessive 3
CRYBB2	Congenital cataract;Cataract 3, multiple types
CRYBB3	Cataract, congenital nuclear, autosomal recessive 2;Congenital cataract
CRYGA	Congenital cataract
CRYGB	Cataract 39, multiple types
CRYGC	Congenital cataract;Cataract, coppock-like;Cataract 2, Coppock-like
CRYGD	Congenital cataract;Cataract 4
CRYGS	Congenital cataract;Membranous cataract
CRYM	Deafness, autosomal dominant 40
CSF1R	Hematologic neoplasm;Alzheimers disease;BRAIN ABNORMALITIES, NEURODEGENERATION, AND DYSOSTEOSCLEROSIS;Neoplasm;Inborn genetic diseases;Myeloproliferative disorder;Hereditary diffuse leukoencephalopathy with spheroids
CSF2RA	Surfactant metabolism dysfunction, pulmonary, 4
CSF2RB	Surfactant metabolism dysfunction, pulmonary, 5
CSF3R	Severe congenital neutropenia;Acute myeloid leukemia;Early T cell progenitor acute lymphoblastic leukemia;Hereditary neutrophilia;Chronic myelogenous leukemia;Neutropenia, severe congenital, 7, autosomal recessive
